GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
scheduling,com.leaolabs.scheduling.v1.mapper,TransferContractMapper,26,162,2,2,5,52,4,5,2,5
scheduling,com.leaolabs.scheduling.business.impl,TaxBusinessImpl,11,119,3,7,1,25,3,10,0,8
scheduling,com.leaolabs.scheduling.business.impl,TransferContractBusinessImpl,20,115,0,2,0,29,2,6,2,5
scheduling,com.leaolabs.scheduling.model,Scheduling,26,44,0,0,3,8,7,7,7,7
scheduling,com.leaolabs.scheduling.model,TransferContract,24,93,0,0,0,16,6,18,6,18
scheduling,com.leaolabs.scheduling.model,Customer.CustomerBuilder,12,42,0,0,0,1,1,7,1,7
scheduling,com.leaolabs.scheduling.model,Scheduling.SchedulingBuilder,12,42,0,0,0,1,1,7,1,7
scheduling,com.leaolabs.scheduling.model,Tax.TaxBuilder,36,0,0,0,1,0,6,0,6,0
scheduling,com.leaolabs.scheduling.model,Customer,26,41,0,0,3,8,7,7,7,7
scheduling,com.leaolabs.scheduling.model,TransferContract.TransferContractBuilder,32,67,0,0,0,1,3,10,3,10
scheduling,com.leaolabs.scheduling.model,Tax,20,20,0,0,2,5,3,6,3,6
scheduling,com.leaolabs.scheduling.commons.controller,ResponseMeta.ErrorMessage.ErrorMessageBuilder,16,30,1,1,0,1,3,4,2,4
scheduling,com.leaolabs.scheduling.commons.controller,ResponseMeta.ErrorMessage,149,27,30,0,4,5,23,6,8,6
scheduling,com.leaolabs.scheduling.commons.controller,OffsetLimitRequest,12,28,0,0,6,6,6,3,6,3
scheduling,com.leaolabs.scheduling.commons.controller,ResponseMeta.ResponseMetaBuilder,13,23,0,0,0,1,2,4,2,4
scheduling,com.leaolabs.scheduling.commons.controller,ResponseMeta.Meta,220,37,46,0,4,7,33,7,10,7
scheduling,com.leaolabs.scheduling.commons.controller,ResponseMeta.Meta.MetaBuilder,12,42,0,0,0,1,1,7,1,7
scheduling,com.leaolabs.scheduling.commons.controller,ResponseMeta,146,25,30,0,4,5,23,5,8,5
scheduling,com.leaolabs.scheduling.commons.controller,BaseController,93,108,8,6,16,21,12,8,6,7
scheduling,com.leaolabs.scheduling.commons.exception,MissingParameterException,4,0,0,0,2,0,1,0,1,0
scheduling,com.leaolabs.scheduling.commons.exception,EntityNotFoundException,4,0,0,0,2,0,1,0,1,0
scheduling,com.leaolabs.scheduling.commons.exception,BaseControllerException,11,0,0,0,4,0,2,0,2,0
scheduling,com.leaolabs.scheduling.commons.exception,BaseControllerAdvice,273,277,13,23,85,67,17,10,6,3
scheduling,com.leaolabs.scheduling.v1.dtos,TransferContractDto.TransferContractDtoBuilder,22,77,0,0,0,1,1,12,1,12
scheduling,com.leaolabs.scheduling.v1.dtos,TransferContractDto,362,110,86,0,2,14,47,23,4,23
scheduling,com.leaolabs.scheduling.v1.dtos,SchedulingDto,131,40,30,0,2,7,19,9,4,9
scheduling,com.leaolabs.scheduling.v1.dtos,TaxDto.TaxDtoBuilder,8,28,0,0,0,1,1,5,1,5
scheduling,com.leaolabs.scheduling.v1.dtos,SchedulingDto.SchedulingDtoBuilder,8,28,0,0,0,1,1,5,1,5
scheduling,com.leaolabs.scheduling.v1.dtos,CustomerDto,131,40,30,0,2,7,19,9,4,9
scheduling,com.leaolabs.scheduling.v1.dtos,CustomerDto.CustomerDtoBuilder,8,28,0,0,0,1,1,5,1,5
scheduling,com.leaolabs.scheduling.v1.dtos,TaxDto,12,25,0,0,1,4,3,5,3,5
scheduling,com.leaolabs.scheduling.commons.converter,CaseInsensitiveConverter,21,0,2,0,6,0,3,0,2,0
scheduling,com.leaolabs.scheduling,SchedulingApplication,5,3,0,0,2,1,1,1,1,1
scheduling,com.leaolabs.scheduling.v1.controller,TransferContractController,10,47,0,0,0,12,1,3,1,3
